"Channel","Simulated","Experimental","Energy (keV)","16O (RBS)","17O (RBS)","18O (RBS)","28Si (RBS)","29Si (RBS)","30Si (RBS)","197Au (RBS)"
72,1.193534e+03,15,143.933,0,0,0,1.100264e+03,5.611443e+01,3.715553e+01,0
73,1.185989e+03,19,145.646,0,0,0,1.093305e+03,5.576102e+01,3.692333e+01,0
74,1.178545e+03,26,147.359,0,0,0,1.086440e+03,5.541202e+01,3.669347e+01,0
75,1.171227e+03,32,149.072,0,0,0,1.079691e+03,5.506860e+01,3.646695e+01,0
76,1.164046e+03,31,150.785,0,0,0,1.073071e+03,5.473144e+01,3.624416e+01,0
77,1.157004e+03,60,152.498,0,0,0,1.066578e+03,5.440061e+01,3.602498e+01,0
78,1.150093e+03,57,154.211,0,0,0,1.060208e+03,5.407558e+01,3.580928e+01,0
79,1.143302e+03,50,155.924,0,0,0,1.053949e+03,5.375585e+01,3.559684e+01,0
80,1.136615e+03,80,157.637,0,0,0,1.047786e+03,5.344109e+01,3.538811e+01,0
81,1.130043e+03,110,159.35,0,0,0,1.041728e+03,5.313192e+01,3.518337e+01,0
82,1.123594e+03,110,161.063,0,0,0,1.035783e+03,5.282867e+01,3.498271e+01,0
83,1.117273e+03,149,162.776,0,0,0,1.029955e+03,5.253146e+01,3.478613e+01,0
84,1.111080e+03,188,164.489,0,0,0,1.024246e+03,5.224022e+01,3.459347e+01,0
85,1.105010e+03,205,166.201,0,0,0,1.018651e+03,5.195471e+01,3.440425e+01,0
86,1.099050e+03,220,167.914,0,0,0,1.013158e+03,5.167425e+01,3.421812e+01,0
87,1.093190e+03,290,169.627,0,0,0,1.007757e+03,5.139818e+01,3.403482e+01,0
88,1.087417e+03,302,171.34,0,0,0,1.002436e+03,5.112636e+01,3.385461e+01,0
89,1.081742e+03,317,173.053,0,0,0,9.972050e+02,5.085918e+01,3.367764e+01,0
90,1.076168e+03,374,174.766,0,0,0,9.920672e+02,5.059686e+01,3.350389e+01,0
91,1.070697e+03,434,176.479,0,0,0,9.870246e+02,5.033940e+01,3.333336e+01,0
92,1.065330e+03,464,178.192,0,0,0,9.820772e+02,5.008669e+01,3.316588e+01,0
93,1.060059e+03,491,179.905,0,0,0,9.772197e+02,4.983852e+01,3.300105e+01,0
94,1.054874e+03,543,181.618,0,0,0,9.724409e+02,4.959427e+01,3.283861e+01,0
95,1.049764e+03,576,183.331,0,0,0,9.677323e+02,4.935340e+01,3.267826e+01,0
96,1.044719e+03,641,185.044,0,0,0,9.630834e+02,4.911570e+01,3.252024e+01,0
97,1.039747e+03,684,186.757,0,0,0,9.585010e+02,4.888153e+01,3.236470e+01,0
98,1.034852e+03,663,188.47,0,0,0,9.539890e+02,4.865107e+01,3.221172e+01,0
99,1.030035e+03,780,190.183,0,0,0,9.495489e+02,4.842436e+01,3.206135e+01,0
100,1.025296e+03,767,191.896,0,0,0,9.451813e+02,4.820141e+01,3.191348e+01,0
101,1.020632e+03,807,193.609,0,0,0,9.408820e+02,4.798205e+01,3.176788e+01,0
102,1.016033e+03,807,195.322,0,0,0,9.366432e+02,4.776579e+01,3.162438e+01,0
103,1.011494e+03,840,197.035,0,0,0,9.324592e+02,4.755236e+01,3.148260e+01,0
104,1.007004e+03,880,198.747,0,0,0,9.283202e+02,4.734135e+01,3.134273e+01,0
105,1.002571e+03,912,200.46,0,0,0,9.242328e+02,4.713314e+01,3.120493e+01,0
106,9.981996e+02,905,202.173,0,0,0,9.202023e+02,4.692795e+01,3.106934e+01,0
107,9.938950e+02,922,203.886,0,0,0,9.162331e+02,4.672594e+01,3.093599e+01,0
108,9.896594e+02,940,205.599,0,0,0,9.123274e+02,4.652721e+01,3.080481e+01,0
109,9.854906e+02,934,207.312,0,0,0,9.084832e+02,4.633163e+01,3.067575e+01,0
110,9.813865e+02,942,209.025,0,0,0,9.046989e+02,4.613904e+01,3.054852e+01,0
111,9.773400e+02,891,210.738,0,0,0,9.009680e+02,4.594914e+01,3.042291e+01,0
112,9.733422e+02,952,212.451,0,0,0,8.972819e+02,4.576146e+01,3.029879e+01,0
113,9.693959e+02,991,214.164,0,0,0,8.936434e+02,4.557615e+01,3.017634e+01,0
114,9.655075e+02,946,215.877,0,0,0,8.900584e+02,4.539349e+01,3.005568e+01,0
115,9.616814e+02,963,217.59,0,0,0,8.865309e+02,4.521365e+01,2.993686e+01,0
116,9.579180e+02,965,219.303,0,0,0,8.830614e+02,4.503667e+01,2.981992e+01,0
117,9.542172e+02,972,221.016,0,0,0,8.796499e+02,4.486254e+01,2.970476e+01,0
118,9.505762e+02,986,222.729,8.214848e-07,0,0,8.762938e+02,4.469113e+01,2.959125e+01,0
119,9.469864e+02,945,224.442,3.212589e-06,0,0,8.729851e+02,4.452205e+01,2.947923e+01,0
120,9.434424e+02,977,226.155,9.302594e-06,0,0,8.697189e+02,4.435509e+01,2.936841e+01,0
121,9.399367e+02,876,227.868,2.378118e-05,0,0,8.664879e+02,4.418988e+01,2.925884e+01,0
122,9.364736e+02,976,229.581,4.993145e-05,0,0,8.632963e+02,4.402663e+01,2.915065e+01,0
123,9.330555e+02,898,231.293,1.168827e-04,0,0,8.601460e+02,4.386547e+01,2.904392e+01,0
124,9.296839e+02,899,233.006,2.599248e-04,0,0,8.570385e+02,4.370649e+01,2.893865e+01,0
125,9.263591e+02,955,234.719,5.549670e-04,0,0,8.539740e+02,4.354970e+01,2.883485e+01,0
126,9.230781e+02,939,236.432,1.145393e-03,0,0,8.509496e+02,4.339496e+01,2.873245e+01,0
127,9.198391e+02,947,238.145,2.291576e-03,0,0,8.479633e+02,4.324224e+01,2.863125e+01,0
128,9.166361e+02,895,239.858,4.433553e-03,0,0,8.450093e+02,4.309119e+01,2.853116e+01,0
129,9.134629e+02,901,241.571,8.296768e-03,0,0,8.420811e+02,4.294157e+01,2.843193e+01,0
130,9.103209e+02,876,243.284,1.522400e-02,0,0,8.391787e+02,4.279327e+01,2.833366e+01,0
131,9.072175e+02,935,244.997,2.739638e-02,0,0,8.363071e+02,4.264656e+01,2.823647e+01,0
132,9.041599e+02,942,246.71,4.835488e-02,0,0,8.334695e+02,4.250160e+01,2.814049e+01,0
133,9.011551e+02,907,248.423,8.371159e-02,0,0,8.306672e+02,4.235850e+01,2.804573e+01,0
134,8.982138e+02,869,250.136,1.421565e-01,0,0,8.279020e+02,4.221735e+01,2.795223e+01,0
135,8.953471e+02,860,251.849,2.368089e-01,0,0,8.251723e+02,4.207805e+01,2.785997e+01,0
136,8.925712e+02,876,253.562,3.869856e-01,0,0,8.224748e+02,4.194057e+01,2.776881e+01,0
137,8.899107e+02,911,255.275,6.203854e-01,0,0,8.198070e+02,4.180468e+01,2.767870e+01,0
138,8.873979e+02,855,256.988,9.756606e-01,4.818250e-10,0,8.171627e+02,4.167012e+01,2.758943e+01,0
139,8.850879e+02,915,258.701,1.505216e+00,1.785124e-09,0,8.145446e+02,4.153691e+01,2.750115e+01,0
140,8.830539e+02,876,260.414,2.277960e+00,4.942493e-09,0,8.119567e+02,4.140526e+01,2.741395e+01,0
141,8.813868e+02,896,262.127,3.381583e+00,1.206217e-08,0,8.094019e+02,4.127531e+01,2.732795e+01,0
142,8.801948e+02,951,263.839,4.923713e+00,2.742075e-08,0,8.068809e+02,4.114709e+01,2.724316e+01,0
143,8.796063e+02,847,265.552,7.031223e+00,5.929679e-08,0,8.043948e+02,4.102069e+01,2.715959e+01,0
144,8.797625e+02,845,267.265,9.846822e+00,1.166538e-07,0,8.019425e+02,4.089598e+01,2.707719e+01,0
145,8.808105e+02,895,268.978,1.352214e+01,2.395108e-07,0,7.995197e+02,4.077288e+01,2.699583e+01,0
146,8.828980e+02,846,270.691,1.820674e+01,4.762420e-07,0,7.971246e+02,4.065119e+01,2.691542e+01,0
147,8.861516e+02,874,272.404,2.403386e+01,9.198843e-07,0,7.947514e+02,4.053063e+01,2.683575e+01,0
148,8.906752e+02,873,274.117,3.110410e+01,1.723328e-06,0,7.924030e+02,4.041119e+01,2.675686e+01,0
149,8.965192e+02,918,275.83,3.946449e+01,3.134003e-06,0,7.900828e+02,4.029305e+01,2.667885e+01,0
150,9.036612e+02,923,277.543,4.908997e+01,5.597749e-06,0,7.877931e+02,4.017633e+01,2.660178e+01,0
151,9.119903e+02,861,279.256,5.986934e+01,9.821881e-06,0,7.855343e+02,4.006105e+01,2.652563e+01,0
152,9.213045e+02,841,280.969,7.160020e+01,1.692978e-05,0,7.833066e+02,3.994729e+01,2.645043e+01,0
153,9.313170e+02,880,282.682,8.399711e+01,2.867092e-05,0,7.811089e+02,3.983493e+01,2.637612e+01,0
154,9.416801e+02,904,284.395,9.671695e+01,4.770666e-05,0,7.789365e+02,3.972391e+01,2.630262e+01,0
155,9.520352e+02,895,286.108,1.094035e+02,7.800043e-05,0,7.767878e+02,3.961405e+01,2.622982e+01,0
156,9.620625e+02,952,287.821,1.217425e+02,1.253170e-04,1.397060e-09,7.746571e+02,3.950514e+01,2.615758e+01,0
157,9.715075e+02,921,289.534,1.334775e+02,1.978460e-04,2.897846e-09,7.725468e+02,3.939714e+01,2.608592e+01,0
158,9.800942e+02,951,291.247,1.443300e+02,3.069405e-04,1.034373e-08,7.704588e+02,3.929021e+01,2.601494e+01,0
159,9.875401e+02,972,292.96,1.540159e+02,4.679369e-04,2.763642e-08,7.683946e+02,3.918443e+01,2.594470e+01,0
160,9.936817e+02,979,294.673,1.623718e+02,7.009992e-04,6.521790e-08,7.663541e+02,3.907986e+01,2.587524e+01,0
161,9.984638e+02,992,296.385,1.693424e+02,1.031877e-03,1.435807e-07,7.643372e+02,3.897654e+01,2.580661e+01,0
162,1.001922e+03,957,298.098,1.749648e+02,1.492439e-03,3.011918e-07,7.623427e+02,3.887437e+01,2.573873e+01,0
163,1.004155e+03,1020,299.811,1.793417e+02,2.120776e-03,5.790779e-07,7.603666e+02,3.877336e+01,2.567162e+01,0
164,1.005310e+03,988,301.524,1.826213e+02,2.960661e-03,1.156352e-06,7.584072e+02,3.867328e+01,2.560514e+01,0
165,1.005550e+03,987,303.237,1.849731e+02,4.060124e-03,2.240526e-06,7.564596e+02,3.857400e+01,2.553921e+01,0
166,1.005049e+03,989,304.95,1.865679e+02,5.468949e-03,4.224199e-06,7.545260e+02,3.847539e+01,2.547376e+01,0
167,1.003970e+03,968,306.663,1.875671e+02,7.234968e-03,7.746735e-06,7.526088e+02,3.837764e+01,2.540892e+01,0
168,1.002456e+03,1007,308.376,1.881113e+02,9.399992e-03,1.383521e-05,7.507101e+02,3.828080e+01,2.534473e+01,0
169,1.000628e+03,957,310.089,1.883197e+02,1.199406e-02,2.429878e-05,7.488303e+02,3.818498e+01,2.528124e+01,0
170,9.985804e+02,1034,311.802,1.882864e+02,1.502932e-02,4.197499e-05,7.469703e+02,3.809019e+01,2.521847e+01,0
171,9.963868e+02,996,313.515,1.880862e+02,1.849468e-02,7.132198e-05,7.451293e+02,3.799639e+01,2.515639e+01,0
172,9.941006e+02,974,315.228,1.877747e+02,2.235174e-02,1.192169e-04,7.433048e+02,3.790360e+01,2.509500e+01,0
173,9.917592e+02,1043,316.941,1.873911e+02,2.653351e-02,1.960448e-04,7.414956e+02,3.781160e+01,2.503415e+01,0
174,9.893861e+02,994,318.654,1.869632e+02,3.094697e-02,3.171845e-04,7.396975e+02,3.772034e+01,2.497382e+01,0
175,9.869997e+02,958,320.367,1.865081e+02,3.548068e-02,5.049240e-04,7.379121e+02,3.762963e+01,2.491385e+01,0
176,9.846148e+02,1007,322.08,1.860377e+02,4.001782e-02,7.908887e-04,7.361424e+02,3.753961e+01,2.485434e+01,0
177,9.822402e+02,990,323.793,1.855585e+02,4.445012e-02,1.218958e-03,7.343903e+02,3.745037e+01,2.479534e+01,0
178,9.798821e+02,974,325.506,1.850763e+02,4.868884e-02,1.848634e-03,7.326564e+02,3.736201e+01,2.473691e+01,0
179,9.775458e+02,1000,327.219,1.845949e+02,5.265297e-02,2.758654e-03,7.309419e+02,3.727456e+01,2.467904e+01,0
180,9.752314e+02,957,328.931,1.841159e+02,5.624121e-02,4.050594e-03,7.292455e+02,3.718803e+01,2.462177e+01,0
181,9.729396e+02,1041,330.644,1.836409e+02,5.938832e-02,5.851921e-03,7.275659e+02,3.710239e+01,2.456507e+01,0
182,9.706677e+02,1036,332.357,1.831696e+02,6.206501e-02,8.317909e-03,7.259013e+02,3.701751e+01,2.450887e+01,0
183,9.684127e+02,997,334.07,1.827023e+02,6.427311e-02,1.163155e-02,7.242480e+02,3.693335e+01,2.445312e+01,0
184,9.661746e+02,964,335.783,1.822385e+02,6.603831e-02,1.600056e-02,7.226066e+02,3.684973e+01,2.439772e+01,0
185,9.639576e+02,1014,337.496,1.817793e+02,6.740372e-02,2.165055e-02,7.209799e+02,3.676670e+01,2.434269e+01,0
186,9.617648e+02,1013,339.209,1.813256e+02,6.842226e-02,2.881352e-02,7.193694e+02,3.668442e+01,2.428811e+01,0
187,9.595976e+02,1011,340.922,1.808774e+02,6.915063e-02,3.771172e-02,7.177763e+02,3.660296e+01,2.423405e+01,0
188,9.574579e+02,993,342.635,1.804351e+02,6.964387e-02,4.854031e-02,7.162017e+02,3.652236e+01,2.418055e+01,0
189,9.553438e+02,947,344.348,1.799976e+02,6.995265e-02,6.144149e-02,7.146445e+02,3.644270e+01,2.412765e+01,0
